,combined_pvalue,adjusted_pvalue
ABCC11,1.57205314237352e-05,0.000176565098660635
ACTA2,2.93638854509393e-06,3.38479343528383e-05
ACTG2,0.753130348058536,1
ADAM9,0.49851763721247,1
ADGRE5,0.0309881051551877,0.271473387464584
AIF1,1.11022302462516e-16,2.43154594179592e-15
AKR1C1,0.42463946088808,1
ANGPT2,0.0665972247710638,0.536898298263806
ANKRD28,0.313998475177738,1
ANKRD29,2.0801792548486e-06,2.53104872381781e-05
ANKRD30A,2.22044604925031e-16,4.05257656965986e-15
APOBEC3B,0.358721102958139,1
APOC1,1.11022302462516e-16,2.43154594179592e-15
AQP1,5.55e-17,2.43154594179592e-15
AR,0.000853569974718527,0.00869506673813401
AVPR1A,0.469321543385279,1
BACE2,7.22676732656247e-06,8.25790214356766e-05
BASP1,1.11022302462516e-16,2.43154594179592e-15
BTNL9,5.55e-17,2.43154594179592e-15
C1QA,2.22044604925031e-16,4.05257656965986e-15
C1QC,1.11022302462516e-16,2.43154594179592e-15
C2orf42,0.583241794356854,1
C6orf132,0.204832987533505,1
CAV1,5.55e-17,2.43154594179592e-15
CAVIN2,5.55e-17,2.43154594179592e-15
CCDC6,0.355661630653415,1
CCDC80,5.55e-17,2.43154594179592e-15
CCL5,0.0720800519312045,0.570598338830297
CCL8,0.0857660484610787,0.670856480615102
CCND1,2.54952992051471e-09,3.72255483460655e-08
CCPG1,0.0526315932889339,0.432264962422197
CD14,1.11022302462516e-16,2.43154594179592e-15
CD163,5.55e-17,2.43154594179592e-15
CD247,0.0116468788205251,0.109321358871751
CD3D,9.6768044688389e-09,1.35278136553759e-07
CD3E,3.84549725396255e-10,5.67787724719119e-09
CD3G,0.14112338100188,1
CD4,1.11022302462516e-16,2.43154594179592e-15
CD68,5.55e-17,2.43154594179592e-15
CD69,1.68618262685882e-08,2.28431702321891e-07
CD83,1.11022302462516e-16,2.43154594179592e-15
CD86,9.34252675222069e-12,1.47914162170212e-10
CD8A,0.0337761833088566,0.292005132606959
CD8B,0.172019518996831,1
CD9,1.83186799063151e-13,3.16740852944468e-12
CD93,5.55e-17,2.43154594179592e-15
CDC42EP1,0.000136691544193601,0.00148449855624481
CDH1,7.14053260963965e-11,1.10391384777695e-09
CEACAM6,0.0137741966831384,0.128372106433844
CENPF,5.55e-17,2.43154594179592e-15
CLDN4,0.209182020202053,1
CLEC14A,5.55e-17,2.43154594179592e-15
CRISPLD2,1.11022302462516e-16,2.43154594179592e-15
CTLA4,2.22044604925031e-16,4.05257656965986e-15
CTTN,5.93102689960823e-05,0.000654947415184635
CXCL12,1.11022302462516e-16,2.43154594179592e-15
CXCL16,1.4986581109433e-07,1.96936433508072e-06
CXCR4,1.63637033256947e-07,2.12903952219867e-06
CYTIP,2.34965602530224e-10,3.50869095231132e-09
DAPK3,0.795203188314948,1
DMKN,0.53538138104637,1
DNTTIP1,0.65253076410819,1
DPT,1.11022302462516e-16,2.43154594179592e-15
DSC2,0.395624025314969,1
DSP,4.89275286952306e-13,8.34999192116463e-12
DST,1.89383790472064e-06,2.32585441574452e-05
DUSP2,0.353735608595021,1
DUSP5,0.311758352598884,1
EDNRB,0.0715785198611423,0.57006223279698
EGFL7,1.11022302462516e-16,2.43154594179592e-15
EGFR,1.11022302462516e-16,2.43154594179592e-15
EIF4EBP1,0.00153861514070297,0.0152186440990812
ELF3,0.000634301331350784,0.00651192145313473
ENAH,0.176549012540438,1
EPCAM,2.22044604925031e-16,4.05257656965986e-15
ERBB2,2.62765386005448e-06,3.08300076626032e-05
ERN1,0.614125531627381,1
ESM1,2.22044604925031e-16,4.05257656965986e-15
ESR1,0.153550113221839,1
FAM107B,0.161093843287242,1
FAM49A,0.028060546626385,0.247476154339259
FASN,1.49880108324396e-12,2.49310406690468e-11
FBLIM1,0.00805539883431572,0.0767063754041715
FBLN1,5.55e-17,2.43154594179592e-15
FCER1G,5.55e-17,2.43154594179592e-15
FCGR3A,1.11022302462516e-16,2.43154594179592e-15
FGL2,1.11022302462516e-16,2.43154594179592e-15
FLNB,2.22044604925031e-16,4.05257656965986e-15
FOXA1,2.22044604925031e-16,4.05257656965986e-15
FSTL3,0.0911672250911209,0.704714674264091
GATA3,9.29212262690271e-12,1.47914162170212e-10
GJB2,2.22044604925031e-16,4.05257656965986e-15
GLIPR1,1.11022302462516e-16,2.43154594179592e-15
GPR183,1.11022302462516e-16,2.43154594179592e-15
GZMA,0.0662403276346248,0.536898298263806
HAVCR2,1.11022302462516e-16,2.43154594179592e-15
HDC,0.089413140993069,0.69524543668006
HMGA1,0.135837820574881,1
HOOK2,0.874435824684154,1
HOXD8,1.11022302462516e-16,2.43154594179592e-15
HOXD9,5.55e-17,2.43154594179592e-15
HPX,0.64542344799874,1
IGF1,5.55e-17,2.43154594179592e-15
IGSF6,1.11022302462516e-16,2.43154594179592e-15
IL2RG,0.000192552128649659,0.00205583782598874
IL3RA,5.55e-17,2.43154594179592e-15
IL7R,1.11022302462516e-16,2.43154594179592e-15
ITGAM,0.00125802142562237,0.0127165172748013
ITGAX,1.11022302462516e-16,2.43154594179592e-15
ITM2C,2.42506927716768e-06,2.89704315521907e-05
JUP,1.83515647123045e-10,2.77189865037439e-09
KARS,0.0963296151831995,0.735961131791999
KDR,5.55e-17,2.43154594179592e-15
KLF5,0.00154029569510294,0.0152186440990812
KLRB1,7.17873995803586e-08,9.62599532081629e-07
KRT15,0.561600866229327,1
KRT7,2.22044604925031e-16,4.05257656965986e-15
KRT8,1.68459541871613e-08,2.28431702321891e-07
LAG3,0.0340155201019187,0.292152216186467
LARS,0.545518083052637,1
LDHB,1.20087841892769e-08,1.66111207418449e-07
LGALSL,0.125758546192903,0.949755374895709
LPL,0.0840529309010081,0.661393451710574
LPXN,7.48545669893019e-12,1.21438608913856e-10
LRRC15,1.55431223447522e-15,2.79794327549119e-14
LUM,5.55e-17,2.43154594179592e-15
LYPD3,3.67564739978121e-07,4.68943066279646e-06
LYZ,1.11022302462516e-16,2.43154594179592e-15
MAP3K8,0.0329660625370403,0.286888824492598
MDM2,0.278736116560533,1
MEDAG,7.01438906958174e-13,1.18173132771282e-11
MKI67,5.55e-17,2.43154594179592e-15
MLPH,2.22044604925031e-16,4.05257656965986e-15
MMP1,2.99760216648792e-15,5.32311408879647e-14
MMP2,5.55e-17,2.43154594179592e-15
MMRN2,5.55e-17,2.43154594179592e-15
MNDA,5.4662799070071e-05,0.000608742129625587
MRC1,1.11022302462516e-16,2.43154594179592e-15
MYLK,3.41697589556489e-07,4.40215412356157e-06
MYO5B,0.000240382852072951,0.00250701214968629
MZB1,0.296671556088548,1
NARS,0.0500112907064831,0.413327631030872
NOSTRIN,5.55e-17,2.43154594179592e-15
NPM3,0.755326079404395,1
OCIAD2,0.0443275305918164,0.371020055400474
OXTR,0.00202424982171845,0.0198510192943794
PCLAF,1.11022302462516e-16,2.43154594179592e-15
PCOLCE,0.0401126450353281,0.340073743697955
PDE4A,0.301016583203343,1
PDGFRA,5.55e-17,2.43154594179592e-15
PDGFRB,1.11022302462516e-16,2.43154594179592e-15
PDK4,3.81639164714898e-12,6.2688293811926e-11
PECAM1,5.55e-17,2.43154594179592e-15
PELI1,0.00663508820817071,0.0636428520821913
PIM1,0.000193993436993667,0.00205583782598874
POLR2J3,0.318870674165418,1
POSTN,5.55e-17,2.43154594179592e-15
PPARG,1.11022302462516e-16,2.43154594179592e-15
PRDM1,0.00149134016489283,0.0149599078703097
PTGDS,1.11022302462516e-16,2.43154594179592e-15
PTN,0.00016858390652108,0.00181584921579528
PTPRC,1.11022302462516e-16,2.43154594179592e-15
PTRHD1,0.451520353696253,1
QARS,0.0104413480875201,0.0987109369412345
RAB30,0.900435822309044,1
RAMP2,5.55e-17,2.43154594179592e-15
RAPGEF3,9.54141210485204e-11,1.45793345862042e-09
RHOH,0.0192317256188248,0.175500865385338
RORC,0.0261344683535087,0.233625280159173
RTKN2,1.11022302462516e-16,2.43154594179592e-15
RUNX1,1.11022302462516e-16,2.43154594179592e-15
S100A14,0.000254739902581624,0.00263582612134958
S100A4,1.33450605535046e-05,0.00015117711725402
SCD,3.44061712453936e-09,4.91441716677004e-08
SDC4,0.947492471554718,1
SEC11C,0.975562153077577,1
SEC24A,0.365908599166713,1
SELL,2.14504947781968e-06,2.58603451097191e-05
SERHL2,2.51997257416647e-06,2.98329592963579e-05
SERPINA3,0.0549247402403992,0.448296796845199
SERPINB9,0.26436656736336,1
SFRP4,3.37566130603761e-09,4.8746223278884e-08
SH3YL1,0.264868302584605,1
SLAMF1,0.119852973563359,0.910387341438635
SLAMF7,5.44051478534868e-07,6.8365052163308e-06
SLC25A37,0.0377499324083971,0.322120939929419
SLC5A6,0.0184248843285725,0.170506101940583
SMAP2,0.0212000564058382,0.192128819510861
SMS,0.0692845431504396,0.555157242272579
SNAI1,5.46260689349154e-07,6.8365052163308e-06
SOX17,2.22044604925031e-16,4.05257656965986e-15
SQLE,0.0267614469204374,0.237613644551209
SRPK1,0.000208556186457765,0.00219248466329306
STC1,1.11022302462516e-16,2.43154594179592e-15
SVIL,0.0498473776298083,0.413327631030872
TACSTD2,9.96149494003618e-08,1.3222477121463e-06
TCF4,2.22044604925031e-16,4.05257656965986e-15
TCIM,9.45910016980633e-14,1.6573417139281e-12
TENT5C,0.00558507933747021,0.0543649606987511
TFAP2A,0.144127075873172,1
THAP2,0.255644808109365,1
TIFA,0.0431900399725171,0.363816597385691
TMEM147,0.00562911635977037,0.0543907212529687
TOMM7,0.0190130369246616,0.174718524859406
TOP2A,5.55e-17,2.43154594179592e-15
TPD52,2.76238619911773e-06,3.21239877981707e-05
TRAC,1.63976610068062e-11,2.5652288640388e-10
TRAF4,7.9274290111564e-05,0.00086810971369742
TRAPPC3,0.0227201061491402,0.204494202671884
TRIB1,0.226666606879771,1
TUBA4A,1.11022302462516e-16,2.43154594179592e-15
TUBB2B,0.40008664749978,1
TYROBP,1.39682684840992e-06,1.7316503655206e-05
USP53,0.289050392089122,1
VOPP1,0.496829932309346,1
VWF,5.55e-17,2.43154594179592e-15
WARS,0.636626940720648,1
ZEB1,6.14961148670545e-09,8.68936881262753e-08
ZEB2,5.55e-17,2.43154594179592e-15
ZNF562,0.0952407153208403,0.73189712019623
