method,mode,grid_n,repeat,runtime_s,peak_ram_mb
sccube,ref-free,10,0,9.284607708,822.46875
sccube,ref-free,10,1,9.093762917000001,815.296875
sccube,ref-free,10,2,8.822936624999999,821.234375
sccube,ref-free,10,3,8.800768,821.28125
sccube,ref-free,10,4,8.903092082999999,830.65625
sccube,ref-free,20,0,8.856444041,824.78125
sccube,ref-free,20,1,8.840226333,825.453125
sccube,ref-free,20,2,8.909274542,826.09375
sccube,ref-free,20,3,8.906880208,822.25
sccube,ref-free,20,4,8.859208917,833.59375
sccube,ref-free,30,0,8.887250792000001,808.203125
sccube,ref-free,30,1,8.857444667000001,823.015625
sccube,ref-free,30,2,8.900789042000001,842.359375
sccube,ref-free,30,3,8.858265083,828.390625
sccube,ref-free,30,4,8.832887708,844.421875
sccube,ref-free,50,0,8.939469375,861.078125
sccube,ref-free,50,1,8.935070041,839.828125
sccube,ref-free,50,2,8.906911500000001,838.921875
sccube,ref-free,50,3,8.924270667,851.328125
sccube,ref-free,50,4,8.934612333,839.890625
sccube,ref-free,75,0,9.00410925,863.3125
sccube,ref-free,75,1,8.985786708000001,853.578125
sccube,ref-free,75,2,8.962165,880.171875
sccube,ref-free,75,3,9.019843,852.328125
sccube,ref-free,75,4,8.990030417,882.265625
sccube,ref-free,100,0,9.221892625,900.34375
sccube,ref-free,100,1,9.228304667,900.796875
sccube,ref-free,100,2,9.218197917000001,874.625
sccube,ref-free,100,3,9.232724416,906.0
sccube,ref-free,100,4,9.230908708000001,900.640625
sccube,ref-free,150,0,9.989461041,951.296875
sccube,ref-free,150,1,9.993038125,949.875
sccube,ref-free,150,2,10.008928416,961.109375
sccube,ref-free,150,3,9.950395625,932.796875
sccube,ref-free,150,4,9.934772875,936.9375
sccube,ref-free,200,0,12.201460875,987.5625
sccube,ref-free,200,1,12.328870958,1015.21875
sccube,ref-free,200,2,12.24645325,1012.984375
sccube,ref-free,200,3,12.307256542000001,1012.265625
sccube,ref-free,200,4,12.237614458,998.34375
scmultisim,ref-free,10,0,15.865801957999999,1570.0625
scmultisim,ref-free,10,1,15.4401445,1333.5625
scmultisim,ref-free,10,2,15.144280625,1454.40625
scmultisim,ref-free,10,3,14.9314235,1289.765625
scmultisim,ref-free,10,4,15.148600959,1329.78125
scmultisim,ref-free,15,0,57.397052208000005,1728.796875
scmultisim,ref-free,15,1,58.6157185,2128.765625
scmultisim,ref-free,15,2,57.757397542,1718.546875
scmultisim,ref-free,15,3,57.830156417000005,1703.765625
scmultisim,ref-free,15,4,57.53287175,1730.609375
scmultisim,ref-free,20,0,169.34795695900002,2533.421875
scmultisim,ref-free,20,1,169.13002699999998,3097.484375
scmultisim,ref-free,20,2,172.616758875,2863.1875
scmultisim,ref-free,20,3,177.177523375,2937.734375
scmultisim,ref-free,20,4,177.07165845900002,3082.25
scmultisim,ref-free,25,0,423.61147925,4677.875
scmultisim,ref-free,25,1,426.82422737499996,5138.96875
scmultisim,ref-free,25,2,424.898336416,5153.28125
scmultisim,ref-free,25,3,422.913057833,5119.5625
scmultisim,ref-free,25,4,424.348381458,5178.65625
simspace,ref-free,10,0,1.7419780000345781,356.046875
simspace,ref-free,10,1,1.6893564580241218,354.921875
simspace,ref-free,10,2,1.6987982499995269,355.609375
simspace,ref-free,10,3,1.7278162919683382,355.921875
simspace,ref-free,10,4,1.6968875830061734,353.6875
simspace,ref-free,20,0,1.8934490000247024,353.9375
simspace,ref-free,20,1,1.8847890829783864,355.375
simspace,ref-free,20,2,1.9311088329995982,353.5625
simspace,ref-free,20,3,1.9282138340058737,353.953125
simspace,ref-free,20,4,1.9604629169916734,357.5625
simspace,ref-free,30,0,2.2622534169931896,356.078125
simspace,ref-free,30,1,2.2475001660059206,357.296875
simspace,ref-free,30,2,2.3895047919941135,358.234375
simspace,ref-free,30,3,2.3474400840350427,355.609375
simspace,ref-free,30,4,2.3201291669975035,355.859375
simspace,ref-free,50,0,3.278667917009443,356.828125
simspace,ref-free,50,1,3.293693332991097,358.265625
simspace,ref-free,50,2,3.4960907089989632,356.015625
simspace,ref-free,50,3,3.443534667021595,358.328125
simspace,ref-free,50,4,3.4269239170243964,356.875
simspace,ref-free,75,0,5.297320042038336,360.890625
simspace,ref-free,75,1,5.259678750007879,358.28125
simspace,ref-free,75,2,5.860674541967455,360.015625
simspace,ref-free,75,3,5.754585541959386,360.65625
simspace,ref-free,75,4,5.619294041011017,360.09375
simspace,ref-free,100,0,8.17170437501045,361.546875
simspace,ref-free,100,1,8.054417583043687,360.3125
simspace,ref-free,100,2,9.248030417016707,362.828125
simspace,ref-free,100,3,9.70948058302747,362.1875
simspace,ref-free,100,4,8.433144207985606,360.375
simspace,ref-free,150,0,15.82182420801837,361.453125
simspace,ref-free,150,1,16.022609875013586,363.125
simspace,ref-free,150,2,18.476406250032596,368.125
simspace,ref-free,150,3,18.01363866601605,367.984375
simspace,ref-free,150,4,17.267600333027076,368.6875
simspace,ref-free,200,0,27.236166584014427,369.0
simspace,ref-free,200,1,27.347589792043436,371.078125
simspace,ref-free,200,2,31.633914583013393,381.078125
simspace,ref-free,200,3,30.855569040984847,378.53125
simspace,ref-free,200,4,29.21487404202344,375.671875
